date,time,local_date,local_time,player_count,wayback_url
2006-01-02,01:46:04,2006-01-01,19:46:04,128584,https://web.archive.org/web/20060102014604/http://www.runescape.com/title.ws
2006-01-02,05:06:25,2006-01-01,23:06:25,91517,https://web.archive.org/web/20060102050625/http://www.runescape.com/title.ws
2006-01-02,05:55:01,2006-01-01,23:55:01,80877,https://web.archive.org/web/20060102055501/http://www.runescape.com/title.ws
2006-01-02,08:31:44,2006-01-02,02:31:44,61552,https://web.archive.org/web/20060102083144/http://www.runescape.com/title.ws
2006-01-02,11:34:39,2006-01-02,05:34:39,71148,https://web.archive.org/web/20060102113439/http://www.runescape.com/title.ws
2006-01-02,15:17:26,2006-01-02,09:17:26,109955,https://web.archive.org/web/20060102151726/http://www.runescape.com/title.ws
2006-01-02,17:16:01,2006-01-02,11:16:01,135838,https://web.archive.org/web/20060102171601/http://www.runescape.com/title.ws
2006-01-02,23:23:38,2006-01-02,17:23:38,136243,https://web.archive.org/web/20060102232338/http://www.runescape.com/title.ws
2006-01-03,08:28:03,2006-01-03,02:28:03,51307,https://web.archive.org/web/20060103082803/http://www.runescape.com/title.ws
2006-01-03,15:18:30,2006-01-03,09:18:30,96873,https://web.archive.org/web/20060103151830/http://www.runescape.com/title.ws
2006-01-03,21:53:26,2006-01-03,15:53:26,136425,https://web.archive.org/web/20060103215326/http://www.runescape.com/title.ws
2006-01-04,00:56:07,2006-01-03,18:56:07,131949,https://web.archive.org/web/20060104005607/http://www.runescape.com/title.ws
2006-01-04,03:43:24,2006-01-03,21:43:24,84846,https://web.archive.org/web/20060104034324/http://www.runescape.com/title.ws
2006-01-04,04:35:19,2006-01-03,22:35:19,67358,https://web.archive.org/web/20060104043519/http://www.runescape.com/title.ws
2006-01-04,08:39:49,2006-01-04,02:39:49,47672,https://web.archive.org/web/20060104083949/http://www.runescape.com/title.ws
2006-01-04,10:46:55,2006-01-04,04:46:55,58258,https://web.archive.org/web/20060104104655/http://www.runescape.com/title.ws
2006-01-04,16:11:30,2006-01-04,10:11:30,91818,https://web.archive.org/web/20060104161130/http://www.runescape.com/title.ws
2006-01-04,17:00:43,2006-01-04,11:00:43,97118,https://web.archive.org/web/20060104170043/http://www.runescape.com/title.ws
2006-01-04,20:57:35,2006-01-04,14:57:35,121737,https://web.archive.org/web/20060104205735/http://www.runescape.com/title.ws
2006-01-05,07:31:51,2006-01-05,01:31:51,41500,https://web.archive.org/web/20060105073151/http://www.runescape.com/title.ws
2006-01-06,04:09:09,2006-01-05,22:09:09,71998,https://web.archive.org/web/20060106040909/http://www.runescape.com/title.ws
2006-01-06,07:18:48,2006-01-06,01:18:48,41918,https://web.archive.org/web/20060106071848/http://www.runescape.com/title.ws
2006-01-10,05:28:30,2006-01-09,23:28:30,46294,https://web.archive.org/web/20060110052830/http://www.runescape.com/title.ws
2006-01-10,11:12:37,2006-01-10,05:12:37,32329,https://web.archive.org/web/20060110111237/http://www.runescape.com/title.ws
2006-01-10,13:46:03,2006-01-10,07:46:03,43168,https://web.archive.org/web/20060110134603/http://www.runescape.com/title.ws
2006-01-10,16:40:59,2006-01-10,10:40:59,82584,https://web.archive.org/web/20060110164059/http://www.runescape.com/title.ws
2006-01-10,19:48:17,2006-01-10,13:48:17,86200,https://web.archive.org/web/20060110194817/http://www.runescape.com/title.ws
